Organisation,KVK number
"""""Aa-Dee"""" Machinefabriek en Staalbouw Nederland B.V.",016051874
"""""AAE"""" Advanced Automated Equipment B.V.",017037842
@EasePay B.V.,083892869
@Fentures B.V.,082701695
01-10 Architecten B.V.,024257403
073 Meeting Company B.V.,061829420
1 Cube B.V.,082201811
100 Grams B.V.,069299544
10X Genomics B.V.,068933223
12Build Sales B.V.,063719444
180 Amsterdam BV,034117849
2 Getthere B.V.,063748924
2 Getthere Holding B.V.,030225996
20Face B.V.,069220085
21 Markets B.V.,059575417
21SanSec B.V.,085586617
247HAIR,002076358
247TailorSteel B.V.,009163645
2525 Ventures B.V.,063661438
2-B Energy Holding,008156456
2Care4Kids Holding B.V.,056027400
2Impact B.V.,087370530
2M Engineering Limited,017172882
360KAS B.V.,066831148
361° Europe B.V.,066674999
365Werk Contracting B.V.,067524524
3BFAB B.V.,086686623
3D Communications EU,092219535
3D Hubs B.V.,057883424
3Dimerce B.V.,030168665
3DM-Engineering,076027287
3DUniversum B.V.,060891831
3esi Netherlands B.V.,071974210
3M Nederland B.V.,028020725
3P Project Services B.V.,020132450
3S Money Club,076166120
3SC Analytics B.V.,072658622
3Webapps B.V.,061834890
4 Minutes B.V.,053921291
4DotNet B.V.,004079637
4G Clinical B.V.,065755774
4People Zuid B.V.,050131907
4PS B.V.,008087997
4WEB EU B.V.,059251778
5BAR Assurance B.V.,030244543
5CA B.V.,030277579
7 Solutions B.V.,024450204
72andSunny NL B.V.,034257945
8 Lakes Shared Services B.V.,067304311
83Design Inc. Europe Representative Office,066864844
8vance Matching Technologies B.V.,055679218
A Beautiful Story B.V.,056453663
A Booth B.V.,037082463
A New Hope B.V.,083795790
A&S System Integrators B.V.,052135403
A.A.B. International B.V.,030148836
"A.C.E. Ingenieurs en Adviesbureau, Werktuigbouw en Electrotechniek B.V.",017071306
A.L. Hoogesteger Fresh Specialist B.V.,034065005
A.M. Best (EU) Rating Services B.V.,071592717
A.M.P.C. Associated Medical Project Consultants B.V.,011023272
A.M.S. B.V.,065813073
A.N.T. International B.V.,006089432
A.R. Management & Consultancy B.V.,069196915
A.S. Watson (Health & Beauty Continental Europe) B.V.,031035585
A.T. Kearney B.V.,033279525
A.Z. N.V.,041238026
A10 Networks Ltd Netherlands,050839500
A2B-Online B.V.,008096714
A2G Consulting B.V.,077210344
A2Z-CM N.V.,063550547
A3BC B.V.,013033679
"AACSB International, Inc.- The Association to Advance Collegiate Schools of Business",061700967
AAEON Technology (Europe) B.V.,017170435
AAK Netherlands B.V.,035012547
Aako B.V.,031009627
Aalberts hfc B.V.,029010189
AAme Flex Solutions B.V.,027338828
AAme Premium Solutions B.V.,027238661
Aanmelder.nl B.V.,064105954
Aannemersbedrijf Poolster B.V.,027252390
AAR Aircraft Component Services International,034036552
Aardevo B.V.,027319349
Aarding Thermal Acoustics B.V.,008070459
Aareon Nederland B.V.,004026125
Aarini Consulting B.V.,061189693
Aaron Management B.V.,034258040
Aatop Personeelsintermediairs B.V.,024305889
AB Dent B.V.,071032258
AB Engineering & Consultancy B.V.,092152600
AB Mauri Netherlands B.V.,024133172
AB Sciex Finance B.V.,034220135
AB Vista Europe B.V.,074202855
Abacus Medicine B.V.,056400705
Abalioglu Holding B.V.,024441621
Aban-S B.V.,062623001
Abaque Holding B.V.,014060944
ABB B.V.,083315233
ABB E-mobility B.V.,024000504
ABB Finance B.V.,033232125
Abbott B.V.,033179692
Abbott Biologicals B.V.,032040276
Abbott Healthcare Products B.V.,032039508
Abbott Laboratories B.V.,005018369
Abbott Logistics B.V.,005026851
Abbott Medical Nederland B.V.,030142036
Abbott Vascular Netherlands B.V,034191828
AbbVie B.V.,054914094
AbbVie Central Finance B.V.,069571627
AbbVie Finance B.V.,059116218
AbbVie Logistics B.V.,054910765
AbbVie Pharmaceuticals B.V.,005075314
ABC Consultancy & Detachering B.V.,032141275
ABC Expats Services B.V.,061814393
ABC Holland B.V.,027299210
ABC Holland Services B.V.,054674689
Abel & Imray LLP,084076291
ABEL Delft B.V.,061371912
Aberdeen Property Investors The Netherlands B.V.,033226980
ABiLiTieS,065375319
ABN AMRO Asset Based Finance N.V.,030099465
ABN AMRO Bank N.V.,034334259
About Backoffice Services B.V.,030181489
About Backoffice Services II B.V.,076228398
ABQuant B.V.,086719173
ABS Europe Ltd.,024193191
Abstraction Games B.V.,052564401
ABT B.V.,009110804
ABT EUROPE B.V.,068692269
ABZ Rotterdam Beheer B.V.,024323015
AC Analytical Controls B.V.,024197331
Academisch Ziekenhuis Maastricht,014124959
Acaia B.V.,070322201
Acal BFI Netherlands B.V.,017204312
Accel Club B.V.,084248750
A-ccelerator B.V.,054377447
Accell Global B.V.,069722536
Accent Pointe B.V.,033298018
Accentia B.V.,071160906
Accenture B.V.,034156015
Accerio B.V.,034279408
Access Business Group International B.V.,012049514
Access Financial Services Sàrl,030198546
Access Innovations B.V.,020107818
Acciona Industrial NL B.V.,086018108
Account 4 B.V.,032093604
Accountantskantoor Van Stee B.V.,065626826
Accres Select B.V.,017257625
Accrès Tandartsenpraktijk Purmerend B.V.,037161647
Accucoms International B.V.,061824607
Accuracy Corporate Financial Advisory,016075440
Acda RPA Consultancy B.V.,056518617
Ace and Tate Holding B.V.,056577710
ACE Company B.V.,064954188
ACE Incubator B.V.,071903488
ACE Management Consulting B.V.,084086580
Ace Solutions B.V.,065179935
Ace Tankers C.V.,030240841
Acer Computer B.V.,016081669
Acer Europe B.V.,016084594
Acerta Pharma B.V.,052977501
Acetate Europe Coöperatief U.A.,069534306
Achmea Interne Diensten N.V.,030124927
Achtung B.V.,034220472
ACI Worldwide B.V.,029041088
Acibadem International Medical Center B.V.,062665618
Acist Europe B.V.,030159397
ACMetric B.V.,074798804
ACNielsen (Nederland) B.V.,033078613
ACOMO N.V.,024191858
Acorel Technology B.V.,063532697
ACP Technology B.V.,039072086
Acquaint B.V.,061556173
Acre Resources B.V.,077904109
Across Health B.V.,020139878
ACT Commodities B.V.,027336523
ACT Commodities Group B.V.,053845900
ACT Financial Solutions B.V.,068344864
ACT Fuels B.V.,067412971
Act-3D B.V.,027343208
Acta Marine Management Services B.V.,091548071
ACTA* Holding B.V.,053105206
Actief Techniek B.V.,002058479
Action Service & Distributie,050969838
Active Cues B.V.,062573764
Active Theory B.V.,070263957
ActiveVideo Networks B.V.,030202881
Activision Blizzard International B.V.,034324431
Actronics B.V.,008173851
Actually Design,028100709
Actually Design B.V.,086649159
Actuals B.V.,080279457
Actuator Technology Company B.V.,028094787
Acuiti Labs B.V.,089987004
Acunmedya Holding B.V.,067477801
Acunmedya Netherlands TV & Production B.V.,073749079
Acupunctuur Centrum Kockengen,030115542
Ad van Geloven B.V.,018012279
Adalat Distelplein B.V.,067242103
ADAMA Northern Europe B.V.,033282727
Adams Multilingual Recruitment B.V.,037107061
Adams Paukenfabriek B.V.,013023690
adapa the Netherlands Amersfoort B.V.,031007030
ADAPTFY B.V.,078341493
ADASTEC B.V.,086886010
ADATA Technology B.V.,034259092
A-dato B.V.,064967492
Adchieve B.V.,060421533
AddendoValue B.V.,081422466
Addition Knowledge House B.V.,034276249
ADDITIVE INDUSTRIES B.V.,056692579
Addverb Technologies B.V.,082068364
Adecco Payroll B.V.,030190875
Adecco Personeelsdiensten B.V.,016031601
Adecco Support B.V.,030190859
Adeco Project Engineering B.V.,017107828
Adept Technologies B.V.,078766915
AdeptView B.V.,069366764
Aderans Europe B.V.,033234902
AdFin Solutions B.V.,092307906
Adform B.V.,064055302
adidas Benelux B.V.,020034099
adidas International B.V.,033276292
adidas International Marketing B.V.,034122362
Aditech B.V.,034258589
ADM Europoort,024160592
ADM WILD Netherlands,024257652
Admatec Europe B.V.,059366524
Admind Polska Spólka Z Ograniczona Odpowiedzialnoscia,066965624
Adobe Systems Benelux B.V.,033266509
Adora B.V.,078514525
Adryan B.V.,056507151
