Organisation,KVK number
AgriFood Trade B.V.,30212165
Allego Holding B.V.,73283754
Amplify B.V.,66549523
AWay4Africa,53938372
Axient Systems B.V.,93417047
BioLizard B.V.,74579126
Blackmagic Design B.V.,74437461
Buro Antares B.V.,24158873
Captin B.V.,66016290
CaptureTech IT Services B.V.,27183216
CF (Netherlands) Holdings Limited B.V.,34341583
Cloudshapers B.V.,17233109
COMCAM Energy Sales B.V.,69833419
Conpacksys B.V.,23067796
Consilium Safety Netherlands B.V.,56646658
Consultday B.V.,65142675
Convex Energy B.V.,85926248
Coöperatieve KMG EP U.A.,34354330
Damen Financial Services Holding B.V.,82093601
Damen Shiprepair Harbour & Voyage B.V.,64434907
Datafuture B.V.,76501973
DC People,63919028
DeNoize B.V.,74525786
Deonet Group B.V.,17067870
Djairam Consultancy B.V.,89662660
Drietech & Verhoef Ingenieursbureau B.V.,76340988
E-Coniq B.V.,82136521
Eurofins Spinnovation Analytical B.V.,9141820
e-Village B.V.,32080944
Exascend Europe B.V.,86997823
Feromont Inzenjering B.V.,87985098
Fiberfam B.V.,85859478
Gate terminal,24385944
Goes Handling B.V.,73981745
Gomibo Platforms Technology B.V.,96169052
GorKam B.V.,83617752
Haddad Europe B.V.,69262012
Heinenoord Assuradeuren B.V.,23074819
Helin Data B.V.,69210594
Hermion B.V.,17237316
Hivox Biotek B.V.,50675303
IGG bouweconomie,27272187
iHUB Zorg B.V.,81562772
Inner Stance International B.V.,85051985
Is Technology Investments B.V.,94405603
J. de Jonge Flowsystems B.V.,24181046
Kalli Trade B.V.,73974889
Keyloop (Nederland) B.V.,61370398
Klip B.V.,29018732
Known-You Seed Europe B.V.,96111895
Konax Infra B.V.,68039174
KraussMaffei Group Benelux,61777358
Kuros Biosciences B.V.,30197637
level3 Project Delivery Services B.V.,84730757
LiGalli B.V.,59768223
M & S Logistics B.V.,24294179
M&M Shipholding B.V.,92631126
M.H.B. (Mathijssen Herveld Betuwe) B.V.,10023479
MAQQIE Shared Service Center B.V.,92446965
MGA Entertainment (Netherlands) B.V.,34238137
MMR Research Worldwide B.V.,74153161
Moka United B.V.,95136665
Mölnlycke Health Care,30147276
Mora Produktie B.V.,14622196
Nedal Aluminium B.V.,30019387
Nedmag B.V.,2331543
Netgear Netherlands B.V.,24360451
nexxbiz Operations B.V.,71798455
Nova Massage & Wellness,56586272
NTCS B.V.,27246818
Odoo Experts B.V.,70360618
ODS Metering Systems B.V.,61950238
Oojo International B.V.,90522192
Partners to Innovate Netherlands B.V.,92730663
Perfetti Van Melle Business Support B.V.,95040544
Petrogenium B.V.,62526111
Provincie Limburg,50052969
Rederij Groen B.V.,27139634
Repligen Europe B.V.,20073278
Servoy B.V.,8110836
Sintek B.V.,83297812
SLTN Personeel B.V.,32064916
SolaX Power NL Company B.V.,73047597
SoSafe B.V.,86607715
Spheer AI B.V.,83632433
SSE Fire Protection B.V.,76068048
Stichting Cultural Emergency Response (CER),86741853
Stichting Maastricht Convention Bureau,41077223
Stichting Thermoplastic Composites Research Center,8197084
Studio V.i. B.V.,87699524
Tandartspraktijk Zuidbroek,55159206
Tata Steel Nederland B.V.,34005278
Team Reptile B.V.,73535877
The OS B.V.,94160198
Top Aces B.V.,93593155
TTA International B.V.,23087485
Villari B.V.,76689263
Vitestro International B.V.,92398812
Voxtur B.V.,78342341
Wink B.V.,30132076
WIPAK B.V.,14044551
Workrate Holding B.V.,24423146
World Courier Holland B.V.,34047295
YER Consultancy B.V.,95284206
Zakkencentrale B.V.,24213372
ZeroTier Europe B.V.,94809267
Zuhal Klinieken Nederland B.V.,70428212
ZZDP Architecten B.V.,67918042
